,model,epsilon,attack,optim,dataset,iterations_type,epes
565,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,0,
569,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,0,
573,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,0,
1139,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,1,7.743392874598503
1143,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,1,5.350924316446559
1147,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,1,7.194510560786918
1713,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,2,10.082303776741028
1717,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,2,10.342074240777038
1721,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,2,12.798039196089526
2287,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,3,13.454215902090072
2291,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,3,17.645345411657942
2295,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,3,21.20250293684052
2861,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,4,17.73116790294647
2865,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,4,27.54575025978052
2869,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,4,36.26450755983219
3435,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,5,22.41260758638382
3439,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,5,48.124348158566114
3443,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,5,55.24554494386906
4009,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,6,27.069115781784056
4013,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,6,75.31386541793486
4017,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,6,81.59292454311873
4583,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,7,32.12579482078552
4587,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,7,98.635174503473
4591,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,7,102.76027391279808
5157,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,8,36.48083519935608
5161,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,8,120.21398124994852
5165,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,8,119.93994604842692
5731,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,9,39.02780243873596
5735,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,9,129.71183957530258
5739,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,9,142.25190718121303
6305,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,10,42.0077161359787
6309,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,10,134.25557875919526
6313,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,10,152.8042342153223
6879,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,11,44.6588489818573
6883,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,11,142.22888499595703
6887,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,11,161.61992854927735
7453,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,12,47.11574611186981
7457,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,12,136.12402951837618
7461,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,12,158.57655990421486
8027,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,13,49.98968346595764
8031,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,13,148.77212596059877
8035,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,13,164.73151816867156
8601,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,14,51.36870022535325
8605,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,14,152.0175074822163
8609,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,14,175.85361524388608
9175,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,15,52.38477164030075
9179,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,15,160.12609816914448
9183,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,15,181.78110310535496
9749,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,16,54.74851318240166
9753,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,16,172.54405161958834
9757,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,16,177.61587165131465
10323,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,17,59.26579258203506
10327,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,17,161.6896351137262
10331,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,17,183.27454333987865
10897,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,18,61.98707946777344
10901,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,18,165.41954951642455
10905,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,18,181.2898248234812
11471,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,19,63.53816447019577
11475,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,19,179.02445298456206
11479,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,19,200.66319363851252
12045,videoflow_bof,0.0314,pgd,ground_truth,kitti-2015,20,65.10383871734142
12049,videoflow_bof,0.0314,pgd,ground_truth,sintel-clean,20,169.54016310205606
12053,videoflow_bof,0.0314,pgd,ground_truth,sintel-final,20,203.57020170590147
