model,dataset,targeted,target,attack,epsilon,alpha,iterations,norm,loss,model_is_missing
flowformer,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
flowformer,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
flowformer,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
flowformer,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
flowformer,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
flowformer,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
hd3,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
hd3,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
hd3,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
hd3,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
irr_pwc,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
irr_pwc,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
irr_pwc,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
irr_pwc,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
liteflownet,sintel-clean,False,,pgd,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,False,,cospgd,0.0157,0.01,20,inf,epe,1
liteflownet,sintel-clean,False,,cospgd,0.0314,0.01,20,inf,epe,1
liteflownet,sintel-clean,False,,bim,0.0157,0.01,20,inf,epe,1
liteflownet,sintel-clean,False,,bim,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,True,negative,pgd,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,True,zero,pgd,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,True,negative,bim,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,True,zero,bim,0.0314,0.01,20,inf,epe,1
liteflownet3_pseudoreg,sintel-clean,False,,pgd,0.0157,0.01,20,inf,epe,1
