model,dataset,targeted,target,attack,epsilon,loss,norm,model_is_missing
dip,sintel-clean,,,none,,,,0
flowformer++,sintel-clean,,,none,,,,0
flowformer++,sintel-clean,True,negative,fgsm,0.0314,epe,inf,0
flowformer++,sintel-clean,True,zero,fgsm,0.0314,epe,inf,0
flowformer++,sintel-clean,False,,fgsm,0.0157,epe,inf,0
flowformer++,sintel-clean,False,,fgsm,0.0314,epe,inf,0
ms_raft+,sintel-clean,,,none,,,,0
ms_raft+,sintel-clean,True,negative,fgsm,0.0314,epe,inf,0
ms_raft+,sintel-clean,True,zero,fgsm,0.0314,epe,inf,0
ms_raft+,sintel-clean,False,,fgsm,0.0157,epe,inf,0
ms_raft+,sintel-clean,False,,fgsm,0.0314,epe,inf,0
skflow,sintel-clean,True,negative,fgsm,0.0314,epe,inf,0
skflow,sintel-clean,True,zero,fgsm,0.0314,epe,inf,0
skflow,sintel-clean,False,,fgsm,0.0157,epe,inf,0
skflow,sintel-clean,False,,fgsm,0.0314,epe,inf,0
flowformer,sintel-clean,,,none,,,,1
flowformer,sintel-clean,True,negative,fgsm,0.0314,epe,inf,1
flowformer,sintel-clean,True,zero,fgsm,0.0314,epe,inf,1
flowformer,sintel-clean,False,,fgsm,0.0157,epe,inf,1
flowformer,sintel-clean,False,,fgsm,0.0314,epe,inf,1
irr_pwc,sintel-clean,,,none,,,,1
irr_pwc,sintel-clean,True,negative,fgsm,0.0314,epe,inf,1
irr_pwc,sintel-clean,True,zero,fgsm,0.0314,epe,inf,1
irr_pwc,sintel-clean,False,,fgsm,0.0157,epe,inf,1
irr_pwc,sintel-clean,False,,fgsm,0.0314,epe,inf,1
liteflownet3_pseudoreg,sintel-clean,,,none,,,,1
liteflownet3_pseudoreg,sintel-clean,True,negative,fgsm,0.0314,epe,inf,1
liteflownet3_pseudoreg,sintel-clean,True,zero,fgsm,0.0314,epe,inf,1
liteflownet3_pseudoreg,sintel-clean,False,,fgsm,0.0157,epe,inf,1
liteflownet3_pseudoreg,sintel-clean,False,,fgsm,0.0314,epe,inf,1
maskflownet_s,sintel-clean,,,none,,,,1
maskflownet_s,sintel-clean,True,negative,fgsm,0.0314,epe,inf,1
maskflownet_s,sintel-clean,True,zero,fgsm,0.0314,epe,inf,1
maskflownet_s,sintel-clean,False,,fgsm,0.0157,epe,inf,1
maskflownet_s,sintel-clean,False,,fgsm,0.0314,epe,inf,1
matchflow,sintel-clean,,,none,,,,1
matchflow,sintel-clean,True,negative,fgsm,0.0314,epe,inf,1
matchflow,sintel-clean,True,zero,fgsm,0.0314,epe,inf,1
matchflow,sintel-clean,False,,fgsm,0.0157,epe,inf,1
matchflow,sintel-clean,False,,fgsm,0.0314,epe,inf,1
scv4,sintel-clean,,,none,,,,1
scv4,sintel-clean,True,negative,fgsm,0.0314,epe,inf,1
scv4,sintel-clean,True,zero,fgsm,0.0314,epe,inf,1
scv4,sintel-clean,False,,fgsm,0.0157,epe,inf,1
scv4,sintel-clean,False,,fgsm,0.0314,epe,inf,1
seperableflow,sintel-clean,,,none,,,,1
seperableflow,sintel-clean,True,negative,fgsm,0.0314,epe,inf,1
seperableflow,sintel-clean,True,zero,fgsm,0.0314,epe,inf,1
seperableflow,sintel-clean,False,,fgsm,0.0157,epe,inf,1
seperableflow,sintel-clean,False,,fgsm,0.0314,epe,inf,1
videoflow_bof,sintel-clean,,,none,,,,1
videoflow_bof,sintel-clean,True,negative,fgsm,0.0314,epe,inf,1
videoflow_bof,sintel-clean,True,zero,fgsm,0.0314,epe,inf,1
videoflow_bof,sintel-clean,False,,fgsm,0.0157,epe,inf,1
videoflow_bof,sintel-clean,False,,fgsm,0.0314,epe,inf,1
