model,dataset,targeted,target,attack,epsilon,loss,norm,model_is_missing
dip,sintel-final,,,none,,,,0
flowformer++,sintel-final,,,none,,,,0
flowformer++,sintel-final,True,negative,fgsm,0.0314,epe,inf,0
flowformer++,sintel-final,True,zero,fgsm,0.0314,epe,inf,0
flowformer++,sintel-final,False,,fgsm,0.0157,epe,inf,0
flowformer++,sintel-final,False,,fgsm,0.0314,epe,inf,0
ms_raft+,sintel-final,,,none,,,,0
ms_raft+,sintel-final,True,negative,fgsm,0.0314,epe,inf,0
ms_raft+,sintel-final,True,zero,fgsm,0.0314,epe,inf,0
ms_raft+,sintel-final,False,,fgsm,0.0157,epe,inf,0
ms_raft+,sintel-final,False,,fgsm,0.0314,epe,inf,0
skflow,sintel-final,True,negative,fgsm,0.0314,epe,inf,0
skflow,sintel-final,True,zero,fgsm,0.0314,epe,inf,0
skflow,sintel-final,False,,fgsm,0.0157,epe,inf,0
skflow,sintel-final,False,,fgsm,0.0314,epe,inf,0
flowformer,sintel-final,,,none,,,,1
flowformer,sintel-final,True,negative,fgsm,0.0314,epe,inf,1
flowformer,sintel-final,True,zero,fgsm,0.0314,epe,inf,1
flowformer,sintel-final,False,,fgsm,0.0157,epe,inf,1
flowformer,sintel-final,False,,fgsm,0.0314,epe,inf,1
irr_pwc,sintel-final,,,none,,,,1
irr_pwc,sintel-final,True,negative,fgsm,0.0314,epe,inf,1
irr_pwc,sintel-final,True,zero,fgsm,0.0314,epe,inf,1
irr_pwc,sintel-final,False,,fgsm,0.0157,epe,inf,1
irr_pwc,sintel-final,False,,fgsm,0.0314,epe,inf,1
liteflownet3_pseudoreg,sintel-final,,,none,,,,1
liteflownet3_pseudoreg,sintel-final,True,negative,fgsm,0.0314,epe,inf,1
liteflownet3_pseudoreg,sintel-final,True,zero,fgsm,0.0314,epe,inf,1
liteflownet3_pseudoreg,sintel-final,False,,fgsm,0.0157,epe,inf,1
liteflownet3_pseudoreg,sintel-final,False,,fgsm,0.0314,epe,inf,1
maskflownet_s,sintel-final,,,none,,,,1
maskflownet_s,sintel-final,True,negative,fgsm,0.0314,epe,inf,1
maskflownet_s,sintel-final,True,zero,fgsm,0.0314,epe,inf,1
maskflownet_s,sintel-final,False,,fgsm,0.0157,epe,inf,1
maskflownet_s,sintel-final,False,,fgsm,0.0314,epe,inf,1
matchflow,sintel-final,,,none,,,,1
matchflow,sintel-final,True,negative,fgsm,0.0314,epe,inf,1
matchflow,sintel-final,True,zero,fgsm,0.0314,epe,inf,1
matchflow,sintel-final,False,,fgsm,0.0157,epe,inf,1
matchflow,sintel-final,False,,fgsm,0.0314,epe,inf,1
scv4,sintel-final,,,none,,,,1
scv4,sintel-final,True,negative,fgsm,0.0314,epe,inf,1
scv4,sintel-final,True,zero,fgsm,0.0314,epe,inf,1
scv4,sintel-final,False,,fgsm,0.0157,epe,inf,1
scv4,sintel-final,False,,fgsm,0.0314,epe,inf,1
seperableflow,sintel-final,,,none,,,,1
seperableflow,sintel-final,True,negative,fgsm,0.0314,epe,inf,1
seperableflow,sintel-final,True,zero,fgsm,0.0314,epe,inf,1
seperableflow,sintel-final,False,,fgsm,0.0157,epe,inf,1
seperableflow,sintel-final,False,,fgsm,0.0314,epe,inf,1
videoflow_bof,sintel-final,,,none,,,,1
videoflow_bof,sintel-final,True,negative,fgsm,0.0314,epe,inf,1
videoflow_bof,sintel-final,True,zero,fgsm,0.0314,epe,inf,1
videoflow_bof,sintel-final,False,,fgsm,0.0157,epe,inf,1
videoflow_bof,sintel-final,False,,fgsm,0.0314,epe,inf,1
