model,epe_targeted_true_zero,epe_targeted_false_zero,epe_targeted_true_negative,epe_targeted_false_negative
gma,14.33055808595989,4.510902263548063,27.27290545391,4.5229566395282745
flowformer++,13.591538026540176,4.250284093100092,26.635481580444004,4.282412300514002
videoflow,18.583274285948796,9.949596515168315,30.578125216131625,9.965277829636698
raft,16.666069967072943,7.13258942236071,29.770324616846832,7.165497687847718
flowformer,13.543762222321137,4.185364861851153,26.582280334959858,4.218670814451964
pwcnet,20.184639134096063,15.920432374270066,31.51942656247512,15.920059018549711
rpknet,15.171565637899482,4.436480415644853,28.336241468139317,4.436543235830639
ms,13.938980827124222,4.819778095120969,27.024758237341175,4.830271184833154
craft,13.938980827124222,4.819778095120969,27.024758237341175,4.830271184833154
maskflownet,16.052056867661683,10.359991274709287,27.99010404555694,10.3599843222162
