Started at Wed Nov 13 08:26:45 CET 2024
11/13 08:26:49 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:04:12  time: 0.0838  data_time: 0.0017  memory: 17002  
Processing corruption type: glass_blur
11/13 08:27:09 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:03:53  time: 0.5136  data_time: 0.0017  memory: 17021  
11/13 08:27:18 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:03:29  time: 0.4447  data_time: 0.0017  memory: 17009  
11/13 08:27:22 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:03:05  time: 0.0808  data_time: 0.0016  memory: 720  
11/13 08:27:28 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:02:43  time: 0.0890  data_time: 0.0017  memory: 16952  
11/13 08:27:32 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:02:22  time: 0.0832  data_time: 0.0018  memory: 1600  
11/13 08:27:44 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:02:02  time: 0.0779  data_time: 0.0016  memory: 17024  
11/13 08:27:55 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:01:44  time: 0.0862  data_time: 0.0019  memory: 17015  
11/13 08:28:05 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:01:25  time: 0.0893  data_time: 0.0016  memory: 17004  
11/13 08:28:12 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:01:07  time: 0.0884  data_time: 0.0019  memory: 17004  
11/13 08:28:17 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:00:49  time: 0.0886  data_time: 0.0019  memory: 670  
11/13 08:28:25 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:00:32  time: 0.0910  data_time: 0.0017  memory: 17027  
11/13 08:28:35 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:00:16  time: 0.0822  data_time: 0.0017  memory: 17008  
11/13 08:28:43 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.0778  data_time: 0.0014  memory: 16956  
11/13 08:28:43 - mmengine - INFO - per class results:
11/13 08:28:43 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
+---------------------+-------+-------+
|         wall        | 72.54 | 89.49 |
|       building      | 78.52 | 92.85 |
|         sky         | 93.17 | 96.75 |
|        floor        | 76.29 | 91.02 |
|         tree        | 71.79 | 86.32 |
|       ceiling       | 78.64 | 86.69 |
|         road        | 80.87 | 90.02 |
|         bed         | 86.44 | 94.26 |
|      windowpane     | 58.63 | 72.87 |
|        grass        | 61.22 | 75.58 |
|       cabinet       |  55.9 | 71.36 |
|       sidewalk      | 60.85 | 74.82 |
|        person       | 75.84 |  88.0 |
|        earth        | 33.67 | 49.06 |
|         door        | 39.92 | 51.72 |
|        table        | 58.46 | 74.14 |
|       mountain      | 51.67 | 70.85 |
|        plant        | 48.12 | 58.84 |
|       curtain       | 65.84 | 76.14 |
|        chair        | 52.38 | 63.09 |
|         car         | 80.13 | 87.54 |
|        water        | 47.07 | 62.52 |
|       painting      | 69.08 |  80.0 |
|         sofa        | 62.28 | 82.47 |
|        shelf        | 39.77 |  58.3 |
|        house        | 28.64 | 32.69 |
|         sea         | 49.29 | 80.84 |
|        mirror       | 57.22 |  65.1 |
|         rug         | 44.53 | 48.82 |
|        field        | 27.06 | 44.83 |
|       armchair      | 37.63 |  47.1 |
|         seat        |  60.2 | 76.05 |
|        fence        |  35.4 | 46.69 |
|         desk        | 47.19 | 60.28 |
|         rock        | 32.28 | 47.32 |
|       wardrobe      | 38.95 | 56.68 |
|         lamp        | 60.07 | 70.32 |
|       bathtub       |  72.3 | 78.31 |
|       railing       | 29.44 |  40.1 |
|       cushion       | 51.74 | 65.08 |
|         base        | 16.51 | 18.87 |
|         box         |  17.4 | 22.98 |
|        column       | 40.56 | 50.87 |
|      signboard      | 31.93 | 41.58 |
|   chest of drawers  | 38.24 | 54.93 |
|       counter       | 20.56 | 28.29 |
|         sand        | 43.13 | 52.39 |
|         sink        | 68.79 | 79.26 |
|      skyscraper     | 31.44 | 33.71 |
|      fireplace      | 66.77 | 78.32 |
|     refrigerator    | 63.33 | 77.79 |
|      grandstand     | 37.97 | 60.58 |
|         path        | 18.08 |  24.0 |
|        stairs       | 31.05 | 36.85 |
|        runway       | 62.47 | 83.77 |
|         case        | 50.97 | 69.95 |
|      pool table     | 90.72 | 95.04 |
|        pillow       | 50.96 | 61.13 |
|     screen door     | 58.15 |  62.3 |
|       stairway      | 27.04 | 30.94 |
|        river        | 14.33 | 19.47 |
|        bridge       | 44.68 | 50.79 |
|       bookcase      | 35.09 | 41.29 |
|        blind        | 33.11 | 34.99 |
|     coffee table    | 61.99 | 75.61 |
